id,absence_id,file_name,file_path,file_size,mime_type,uploaded_by,created_at
b04e6c36-11fc-41cc-a2e6-890a5b2036f6,bfe4c5e3-e308-491b-b0ce-0dcf7dd47eeb,Consulta.jpeg,b5f43e07-bd59-4348-84a7-1372b34a3b58/bfe4c5e3-e308-491b-b0ce-0dcf7dd47eeb/1769105543604_Consulta.jpeg,58745,image/jpeg,b5f43e07-bd59-4348-84a7-1372b34a3b58,2026-01-22 18:12:23.103358+00
56cf6667-07da-46ca-9bc7-cabfc950bdfb,1d3d99ab-2e24-4749-b3a9-20a352070383,SScan TVDE26012316290.pdf,33985a6f-6793-4041-8f8a-7a3cdc7e8fd7/1d3d99ab-2e24-4749-b3a9-20a352070383/1769180540446_SScan TVDE26012316290.pdf,41458,application/pdf,33985a6f-6793-4041-8f8a-7a3cdc7e8fd7,2026-01-23 15:02:20.797333+00
e98e1bec-6e7b-4921-a1d6-2951ef1fb519,bfe4c5e3-e308-491b-b0ce-0dcf7dd47eeb,SScan TVDE26012317570.pdf,b5f43e07-bd59-4348-84a7-1372b34a3b58/bfe4c5e3-e308-491b-b0ce-0dcf7dd47eeb/1769185853876_SScan TVDE26012317570.pdf,38951,application/pdf,b5f43e07-bd59-4348-84a7-1372b34a3b58,2026-01-23 16:30:54.561547+00
0acab42d-19b8-4f6e-b4a3-034647b21389,96c076e8-ebe7-4237-845d-f66d8e0bf2bb,Justificação de Falta 12.02 das 17h às 18h00 CláudiaFonseca.pdf,7ebcc374-b2d4-405d-bcca-9ef16af36048/96c076e8-ebe7-4237-845d-f66d8e0bf2bb/1770978032217_Justificacao_de_Falta_12.02_das_17h_as_18h00_ClaudiaFonseca.pdf,63711,application/pdf,7ebcc374-b2d4-405d-bcca-9ef16af36048,2026-02-13 10:20:32.984147+00
d6ce64da-4df8-40b0-8b0e-3aca2f14ea6d,b5e51b58-5a28-4c6b-ba13-69f54eeaa9a6,image.jpg,ba483539-dce5-4a49-b957-dcc4148e9cab/b5e51b58-5a28-4c6b-ba13-69f54eeaa9a6/1771232209722_image.jpg,1534310,image/jpeg,ba483539-dce5-4a49-b957-dcc4148e9cab,2026-02-16 08:57:03.810114+00
2f40ff02-bf93-410c-b40f-708f3316416a,80f28514-59e0-4ac1-bdbf-dd2b8708b551,SMarketing26021710441.pdf,5c81f01a-f266-40d0-a098-29ce074277af/80f28514-59e0-4ac1-bdbf-dd2b8708b551/1771322332274_SMarketing26021710441.pdf,33876,application/pdf,5c81f01a-f266-40d0-a098-29ce074277af,2026-02-17 09:58:52.739487+00
82ce1947-0e27-4bff-b43d-505b2e5343fe,7086f4a7-9f52-4d28-8785-1dee027065a9,Justificação de falta 19.02.2026.jpeg,7ebcc374-b2d4-405d-bcca-9ef16af36048/7086f4a7-9f52-4d28-8785-1dee027065a9/1771580183101_Justificacao_de_falta_19.02.2026.jpeg,151999,image/jpeg,7ebcc374-b2d4-405d-bcca-9ef16af36048,2026-02-20 09:36:24.910621+00
2a8031be-452b-4145-b3e2-41cf98140fe7,ccdd8519-defb-4727-9e58-19ec6254d763,ana.pdf,5c81f01a-f266-40d0-a098-29ce074277af/ccdd8519-defb-4727-9e58-19ec6254d763/1771845853712_ana.pdf,70144,application/pdf,5c81f01a-f266-40d0-a098-29ce074277af,2026-02-23 11:24:14.440311+00
29368073-19e3-43be-acb3-d06e0ed81864,70e2d5dd-019d-4649-894f-af76d6692952,declaração presença.pdf,2c3b3f00-8821-45a2-ae6b-bf5cc351a941/70e2d5dd-019d-4649-894f-af76d6692952/1771927280762_declaracao_presenca.pdf,23715,application/pdf,2c3b3f00-8821-45a2-ae6b-bf5cc351a941,2026-02-24 10:01:21.805132+00
d28dcc8f-e8e2-4632-8a40-8b729cf06319,efb57ffd-ca6a-4096-a4a9-2b18ae92ed22,CONSULTA.jpeg,2c3b3f00-8821-45a2-ae6b-bf5cc351a941/efb57ffd-ca6a-4096-a4a9-2b18ae92ed22/1772209924545_CONSULTA.jpeg,101786,image/jpeg,2c3b3f00-8821-45a2-ae6b-bf5cc351a941,2026-02-27 16:32:09.968622+00
94f093b8-0368-433b-8796-49bf8707e871,71542446-7eb5-4fcd-b1fc-3e8e3c1c5f8e,IMG_1111.jpeg,707f465d-5d9d-49f3-a125-3b8a82a00f6b/71542446-7eb5-4fcd-b1fc-3e8e3c1c5f8e/1772491708807_IMG_1111.jpeg,311537,image/jpeg,707f465d-5d9d-49f3-a125-3b8a82a00f6b,2026-03-02 22:48:31.140033+00
cb3f2308-9c7b-4026-833c-95a0628cfee6,71542446-7eb5-4fcd-b1fc-3e8e3c1c5f8e,CamScanner 04-03-2026 13.47.pdf,707f465d-5d9d-49f3-a125-3b8a82a00f6b/71542446-7eb5-4fcd-b1fc-3e8e3c1c5f8e/1772637882097_CamScanner_04-03-2026_13.47.pdf,305184,application/pdf,707f465d-5d9d-49f3-a125-3b8a82a00f6b,2026-03-04 15:24:43.049051+00
