id,group_id,module_key,can_view,can_edit,created_at,topic_key,can_execute
7cb18e81-07ac-4e59-9b60-9e9c4ecedeb8,2722789d-f2a4-4610-b52a-6842d260274e,dashboard,t,f,2026-03-09 10:59:25.141845+00,view,f
f083f73b-2caa-4f97-8a80-853341bdb657,2722789d-f2a4-4610-b52a-6842d260274e,companies,t,f,2026-03-09 10:59:25.141845+00,view,f
9f01e140-df2e-47f2-b245-7f1fa6748336,2722789d-f2a4-4610-b52a-6842d260274e,employees,t,f,2026-03-09 10:59:25.141845+00,view,f
674576e8-e4a0-441f-9ed7-095d8a291836,2722789d-f2a4-4610-b52a-6842d260274e,employees,f,t,2026-03-09 10:59:25.141845+00,create,t
fe23d543-5148-4c3b-9533-c1c50db30e44,2722789d-f2a4-4610-b52a-6842d260274e,employees,f,t,2026-03-09 10:59:25.141845+00,edit,t
a1d023b4-bb72-4721-b4db-cd82e115ee32,2722789d-f2a4-4610-b52a-6842d260274e,employees,f,t,2026-03-09 10:59:25.141845+00,delete,t
62066e7b-4133-413b-b774-c3bd42093a66,2722789d-f2a4-4610-b52a-6842d260274e,employees,f,t,2026-03-09 10:59:25.141845+00,vacation,t
6263e0ae-f9bd-43e2-a84d-d51f2f189bc4,2722789d-f2a4-4610-b52a-6842d260274e,employees,f,t,2026-03-09 10:59:25.141845+00,notifications,t
9619634d-8aed-47a8-a6fa-3256aad6cf34,2722789d-f2a4-4610-b52a-6842d260274e,employees,f,t,2026-03-09 10:59:25.141845+00,reset_password,t
f38621b9-0f6e-49d5-b691-5d6d3d9c2bbb,2722789d-f2a4-4610-b52a-6842d260274e,accesses,t,f,2026-03-09 10:59:25.141845+00,view,f
a10766bb-e5a3-4aa9-a850-a441d6d628ce,2722789d-f2a4-4610-b52a-6842d260274e,accesses,t,f,2026-03-09 10:59:25.141845+00,assignments,f
86898a48-3f08-48e9-ab04-1969518ca4f1,2722789d-f2a4-4610-b52a-6842d260274e,requests,t,f,2026-03-09 10:59:25.141845+00,view,f
919d121b-3c62-4f7e-bc70-8f91dac40375,2722789d-f2a4-4610-b52a-6842d260274e,requests,f,t,2026-03-09 10:59:25.141845+00,approve,t
d60f045f-68d5-4547-9921-998023edd170,2722789d-f2a4-4610-b52a-6842d260274e,requests,f,t,2026-03-09 10:59:25.141845+00,reject,t
0707e6f5-77bb-4279-9d47-29a490478b7d,2722789d-f2a4-4610-b52a-6842d260274e,support,t,f,2026-03-09 10:59:25.141845+00,view,f
b3b352f3-ae6d-4a2a-80f1-21e33c1824a2,2722789d-f2a4-4610-b52a-6842d260274e,support,f,t,2026-03-09 10:59:25.141845+00,manage,t
f83e908d-fc31-4cb6-936a-c580295acafe,2722789d-f2a4-4610-b52a-6842d260274e,calendar,t,f,2026-03-09 10:59:25.141845+00,view,f
7f02ccbf-e3d1-4007-abae-2c036137a434,2722789d-f2a4-4610-b52a-6842d260274e,settings,t,t,2026-03-09 10:59:25.141845+00,profile,t
24c0b583-cfb4-48dd-8fd8-500f3cb3a9e3,2722789d-f2a4-4610-b52a-6842d260274e,settings,t,t,2026-03-09 10:59:25.141845+00,notifications,t
36175820-bd3a-4078-a3db-350f74049624,2722789d-f2a4-4610-b52a-6842d260274e,settings,t,t,2026-03-09 10:59:25.141845+00,support_subjects,t
